iter	RMSE
0	15.03719183
50	13.47173624
100	12.07209929
150	10.87202214
200	9.800028402
250	8.88101727
300	8.067998602
350	7.346314916
400	6.721156141
450	6.172501125
500	5.656503973
550	5.215514283
600	4.812961891
650	4.475091731
700	4.186962493
750	3.89610631
800	3.610732298
850	3.351114147
900	3.106993296
950	2.846134281
1000	2.603139124
1050	2.397508765
1100	2.213018854
1150	2.034397012
1200	1.880644813
1250	1.737156994
1300	1.603477674
1350	1.472915517
1400	1.357776429
1450	1.248795498
1500	1.166900544
1550	1.075898873
1600	1.001155394
1650	0.9259207276
1700	0.858806307
1750	0.7941239746
1800	0.7381735199
1850	0.6824795994
1900	0.6355673279
1950	0.5879870549
1999	0.5482913876
